lon,lat
38.4965797964,-76.8815597322
56.3721667523,-3.6907693032
6.8312584092,4.7804674561
40.2494404761,140.8822844807
40.0819330969,-8.7146317433
43.3925991404,-79.1269353915
54.4212741936,84.3836813481
41.3506656456,-81.5019349095
27.4961050186,-109.889944478
52.2315512098,28.6956814617
72.7490885927,-74.893811972
32.6453983852,-81.4717134503
36.3525537595,140.209235603
-26.3267818758,-58.4187391075
-7.5653840831,112.6714917303
35.5577204467,-83.0768822831
36.6089582933,137.5260498958
1.4420076805,103.7501825763
-26.1211885724,-65.659265588
20.4045443838,-158.4619234373
26.1191449412,42.3881549879
-38.4258285025,-58.1189118589
42.4059250304,-71.2460032117
40.1986878755,-86.1955139228
41.2563573778,14.5807508489
-14.5118646,-57.1990679458
38.5223213137,-94.6888616402
33.2795182915,-111.8500861989
6.516231222,125.1419064391
29.4672332181,77.1367676516
36.2060250436,-97.658058908
-22.682640804,-52.9796327971
40.2377030316,-79.4925017521
13.9065722949,121.1724214866
-35.9614806563,-60.9989245806
40.2734438386,41.9007995898
9.4098341435,-65.139558725
14.3946083978,101.1057874149
50.7381554514,3.6859482452
50.5101579215,14.233068275
-26.5819977576,-49.1148024904
-32.6504205322,-60.8809360945
56.5778231442,58.9037362109
0.7136886167,110.7608151877
18.4200916213,-67.3042268771
58.8145829604,14.52185174
36.570262973,-86.8850880635
-1.5664361763,-48.1507248598
-6.2730056423,106.8084058068
39.7966390752,-105.1609561631
24.5737985372,55.6401265175
17.1616846407,-92.602119667
27.6746458196,140.9961467535
-66.9222332683,9.4620082628
23.8179039111,117.2819500764
-33.4417183654,-54.5471516836
13.2641357229,123.43634597
55.3018692625,37.8724019942
30.4208517693,-90.4733163636
-32.0693582501,117.5713050717
-27.5971015148,26.4693038182
53.7124404435,-1.920371802
5.5590374166,100.5810206763
40.1321048671,-75.3891264678
53.793246988,162.8546899056
-6.9237845359,107.7895675935
-19.8259201047,-43.7834455
41.0113019412,28.9605458205
-19.1721205199,-48.2782261536
35.9427946553,-119.6821083046
28.2617019782,-81.8851140045
46.9618593047,-58.8359755488
40.7401762369,-4.0467562397
14.5813552284,121.0226699511
-0.1655889978,100.8791734623
32.8339248436,-96.9710306799
53.9942428828,-7.5436784526
21.065881829,72.160962415
41.9841653255,-92.0260347705
