"Cluster","TimeID","lon","lat"
347,2890,44.3224817819358,20.0062027782779
186,2866,34.9977650316358,-92.4221336937702
79,2855,50.2607076766579,-4.55293442263394
289,2821,32.4864967668895,-92.9817989326693
385,2738,50.132705068531,14.8135671543134
371,2729,46.4997596268885,11.9342940491096
491,2483,48.8260202247987,7.68589309642234
460,2340,29.7437286746516,-95.3830068702915
312,2152,16.4895872015687,43.4678667949319
97,1649,14.4176405384477,145.141005885146
233,1616,34.8347999363124,137.468898850073
185,1605,52.3055666621741,-0.354391810995811
449,1553,35.8566980673726,-83.4973692590932
343,1540,26.2610969237406,-85.4012027740471
247,1529,30.8160750573991,-84.0907044900992
121,1478,30.410194413243,-86.9618952420342
309,1200,52.4406872828149,-1.76685497916936
327,1187,38.9034369871244,-77.1254988304181
126,1157,28.7237169455637,12.0978243784531
100,1152,47.3915149163575,17.0374902846124
71,995,41.7248404395292,115.465902155777
262,813,15.5523833514774,29.4538705091613
400,723,39.0914096104978,-0.327211597736549
129,155,31.8660491608635,-100.267348138155
