lon,lat
26.6899604702,-85.5608708955
48.8374882647,2.1759721351
19.7552126812,-99.7072587301
42.342635191,-71.3754915916
58.0676252682,11.9035035784
33.0851961395,-115.3567191567
50.0519561236,8.0200393309
51.5329559978,-0.118207782
-25.5543370954,-49.2716655339
17.1245076601,120.9011744108
18.8049162619,99.444861713
-31.9400943641,117.8101271187
7.4652924889,124.9616380801
51.0073404671,14.557497237
-26.0838594562,-65.7057248057
13.5521914799,123.3210150179
0.7271392592,110.7215064128
32.7622441227,-117.0988557788
46.6572094886,26.4425589533
55.6243225583,38.0237676599
25.2894028394,69.87277667
-34.5913555185,152.7103715751
-7.7446555903,112.1160732204
-33.6629690189,-70.8448743069
25.5844225951,50.7891676593
-14.2927671946,-56.8084458891
5.8170043104,95.240807209
24.7577390758,45.8991421405
46.6587802692,39.8806359882
-51.0751948989,-69.8118688169
-32.8898069116,-61.0419711179
7.0241624381,99.985292145
38.0520553101,140.6415874321
39.7317516435,38.8641084816
4.9365643911,100.7450143948
4.660810894,-74.2960152867
-32.2294904473,-52.8419089038
33.0571304464,-106.2612745763
40.6069966948,30.687402318
26.1076736555,124.3278395408
-3.9074986909,-39.042850821
10.1760389082,-73.0468333382
-27.2862066576,-48.7892456872
45.3250770882,10.6826450876
29.9893702943,76.0931142666
5.0169742378,115.819019869
24.5062757223,55.733546737
-0.1316349323,100.9564945577
-19.813543884,-43.7611173307
-29.0930741887,-49.1699520828
41.7042729462,-113.068337626
40.2870815884,-4.1004021187
72.3787334521,-74.3546759741
-10.1464701786,-67.4588568754
54.6638725513,48.4118550531
49.4073060137,33.2351382947
33.1721042504,130.5293093991
36.4707078029,136.8800218168
59.3306700354,21.7281012073
-6.2415672692,106.7497355722
16.9905362007,-90.1005489221
34.72592556,-84.9038849783
56.6342149649,60.7553999348
-34.6797113115,-58.4924716827
46.8293725195,-58.7685834914
38.5643724445,33.8881895176
53.9616963382,-7.5200257845
15.2479359026,120.5925620523
44.9594319784,5.8465610102
38.126601138,-121.8413731059
35.7199308053,139.7389886466
-31.4694914642,29.1667058078
34.9304741232,135.7992592335
2.9874452149,101.766651284
-30.6840976589,-54.6992475254
-29.9244887828,-51.1601827661
-25.3953315438,-57.9423306722
35.2566412213,138.6190706484
29.9189353112,-95.2970024635
36.2004511058,-119.6630962528
1.4407955944,103.7521179602
40.3184329421,140.8576529484
10.5430358146,123.4738234471
32.0531055617,-82.5653476268
25.0664962482,-79.9327231273
41.6783924475,-95.7129001847
46.847652341,-122.0801057543
40.702184083,0.9052183607
29.4151402567,47.7502820789
34.0488470826,-118.4068604221
62.0165489764,128.6291392573
-12.5727885503,-77.4448795809
26.8794087915,-97.8120366168
-3.6888618119,118.3656725498
14.3551116153,121.0143894892
33.7798432635,-92.8930719198
-26.7787568434,-54.917207678
25.7152553728,-100.8758929683
-34.7592256331,-56.0099477434
34.3672029553,133.1563295269
-27.8883524203,-59.4864053481
14.6440473249,121.0381597882
14.0543742454,146.0912400836
-30.5673257412,-57.5819479654
40.4131025453,-81.4651503783
43.2220783532,-79.1308689422
23.1131459859,113.5982101744
-16.9890471454,24.7759997439
7.8740332051,-3.0247056678
-39.7679911826,-68.5002695223
-2.2435601051,-80.1046165071
24.97861752,86.8240024958
39.7228280418,-104.9960202829
27.6750316811,140.8153255634
35.0833211649,136.9834639667
38.3229234741,125.0648257279
38.6794765463,-76.9046334962
29.4675875057,30.6006718827
-22.9184767628,-51.3328272724
18.4205288268,-67.3022369993
-27.4331691377,-52.2611941046
15.4960993248,76.1894473194
-1.3482966347,36.6390666067
36.3168393642,-115.1124500524
21.474693502,-158.2784861048
33.2961080578,-111.6828826685
